Order Priority,Discount offered,Unit Price,Freight Expenses,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,State,City,Region,Country,Order Date,Ship Date,Profit,QtyOrdered,Sales
High,0.0300,4.98,6.07,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Baghpat,North,India,25-03-2011,28-03-2011,-102.36,8,40.50
High,0.1000,3.48,49.00,Regular Air,Personel Usage,Processed Meat,Jelly Fish,Large Box,Tamil Nadu,Madurai,South,India,26-03-2011,31-03-2011,-1115.47,1,12.99
High,0.0700,48.91,35.00,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Large Box,Madhya Pradesh,Rewa,West,India,27-03-2011,27-03-2011,-1231.87,42,2040.95
High,0.0001,2.08,1.49,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Tamil Nadu,Coimbatore,South,India,30-03-2011,03-04-2011,-203.14,10,22.01
Low,0.1000,25.98,14.36,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Tamil Nadu,Coimbatore,South,India,30-03-2011,01-04-2011,85.82,8,200.00
Low,0.0400,83.10,6.13,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Haryana,Ambala,North,India,30-03-2011,03-04-2011,179.08,12,995.61
Low,0.0500,124.49,51.94,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Haryana,Ambala,North,India,30-03-2011,06-04-2011,-17.28,8,1006.42
Not Specified,0.0500,115.99,56.14,Delivery Truck,Stand Alone Restaurants,Canned Foods,Sliced Pineapple,Jumbo Drum,West Bengal,Diamond Harbour,East,India,31-03-2011,02-04-2011,-44.52,6,714.29
High,0.0600,24.95,2.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,01-04-2011,02-04-2011,270.29,34,800.39
Low,0.0100,550.98,45.70,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Uttar Pradesh,Ghaziabad,North,India,02-04-2011,07-04-2011,-163.20,3,1358.78
Low,0.0300,150.98,66.27,Delivery Truck,Stand Alone Restaurants,Preserved Food,Pickle,Jumbo Box,Madhya Pradesh,Khandwa,West,India,03-04-2011,03-04-2011,-1061.68,12,1774.70
High,0.0300,10.14,2.27,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Bihar,Jhanjharpur,North,India,04-04-2011,11-04-2011,32.53,17,169.48
High,0.0800,4.38,6.21,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Uttar Pradesh,Allahabad,North,India,04-04-2011,05-04-2011,-127.01,7,30.27
High,0.0800,64.98,6.88,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Uttar Pradesh,Allahabad,North,India,04-04-2011,05-04-2011,379.11,12,776.45
High,0.0600,6.48,6.35,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Karnataka,Bellary,South,India,07-04-2011,08-04-2011,-27.78,2,14.20
Not Specified,0.0500,150.98,13.99,Regular Air,Restaurant Chain,Canned Foods,Sliced Pineapple,Medium Box,Rajasthan,Jodhpur,West,India,08-04-2011,09-04-2011,-422.67,1,150.60
High,0.0200,11.66,7.95,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Small Pack,Punjab,Bathinda,West,India,08-04-2011,09-04-2011,-78.81,5,59.69
High,0.0400,12.98,3.14,Regular Air,Stand Alone Restaurants,Processed Meat,Pacific Squid,Small Pack,Punjab,Bathinda,West,India,08-04-2011,09-04-2011,12.82,5,64.34
High,0.0001,6.48,6.65,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Bihar,Ara,North,India,10-04-2011,12-04-2011,-84.33,8,54.02
High,0.0900,13.48,4.51,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Bihar,Ara,North,India,10-04-2011,14-04-2011,-24.44,7,87.90
Low,0.0900,115.99,5.92,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Bihar,Ara,North,India,10-04-2011,12-04-2011,-182.97,3,274.54
High,0.0800,3.36,6.27,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Maharashtra,Bhiwandi,West,India,10-04-2011,13-04-2011,-64.44,1,5.21
High,0.0001,59.78,10.29,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Maharashtra,Bhiwandi,West,India,10-04-2011,11-04-2011,7.10,7,437.77
Medium,0.0400,12.22,2.85,Express Air,Personel Usage,Preserved Food,Marmalade,Small Pack,Maharashtra,Bhiwandi,West,India,10-04-2011,11-04-2011,76.87,5,62.60
High,0.0400,1.68,1.57,Express Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Karnataka,Bellary,South,India,10-04-2011,12-04-2011,-37.76,11,19.37
High,0.0900,9.68,2.03,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Uttar Pradesh,Baghpat,North,India,10-04-2011,12-04-2011,64.78,10,93.88
High,0.0300,3.78,0.71,Express Air,Hotels / Hospitals,Processed Meat,Tuna,Wrap Bag,Uttar Pradesh,Baghpat,North,India,10-04-2011,15-04-2011,11.74,4,17.02
Medium,0.0500,212.60,52.20,Delivery Truck,Stand Alone Restaurants,Preserved Food,Jams,Jumbo Box,Andhra Pradesh,Nellore,South,India,10-04-2011,12-04-2011,-248.78,2,426.93
High,0.0100,11.33,6.12,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Medium Box,Madhya Pradesh,Indore,West,India,11-04-2011,13-04-2011,-8.45,2,24.92
High,0.1000,3.36,6.27,Express Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Madhya Pradesh,Indore,West,India,11-04-2011,12-04-2011,-47.02,3,13.52
High,0.0500,122.99,70.20,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Madhya Pradesh,Indore,West,India,11-04-2011,13-04-2011,-885.73,4,484.91
High,0.0200,14.98,8.99,Express Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Madhya Pradesh,Indore,West,India,11-04-2011,12-04-2011,65.35,7,112.37
High,0.0100,7.31,0.49,Regular Air,Restaurant Chain,Processed Meat,Oysters (Clam),Small Box,Andhra Pradesh,Tirupati,South,India,11-04-2011,15-04-2011,53.93,10,78.16
High,0.0600,10.06,2.06,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Andhra Pradesh,Tirupati,South,India,11-04-2011,15-04-2011,79.45,12,115.15
High,0.0400,3.28,3.97,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Lucknow,North,India,11-04-2011,11-04-2011,-22.84,2,7.54
High,0.1000,55.99,2.50,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Pack,Uttar Pradesh,Sitapur,North,India,11-04-2011,12-04-2011,-155.30,6,278.06
Low,0.0500,65.99,7.69,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Maharashtra,Kalyan,West,India,11-04-2011,11-04-2011,0.71,5,276.24
Medium,0.0700,33.98,19.99,Regular Air,Personel Usage,Preserved Food,Marmalade,Small Box,Madhya Pradesh,Rewa,West,India,15-04-2011,17-04-2011,-138.54,32,1031.23
High,0.0800,6.45,1.34,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Andhra Pradesh,Narasaraopet,South,India,15-04-2011,15-04-2011,-223.63,10,61.46
Medium,0.1000,35.77,9.02,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Chhattisgarh,Raipur,North,India,15-04-2011,17-04-2011,-160.72,2,67.29
Low,0.1000,449.99,49.00,Delivery Truck,Stand Alone Restaurants,Canned Foods,Wild Berry,Jumbo Drum,West Bengal,Ghatal,East,India,16-04-2011,20-04-2011,3386.86,12,4908.49
Low,0.0001,19.23,6.15,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Pack,West Bengal,Ghatal,East,India,16-04-2011,23-04-2011,137.76,10,199.65
Medium,0.0800,32.98,5.50,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Telangana,Karimnagar,South,India,19-04-2011,20-04-2011,581.65,1,31.72
Medium,0.0200,125.99,8.08,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Tamil Nadu,Tenkasi,South,India,20-04-2011,21-04-2011,194.21,4,440.79
Medium,0.0100,500.98,26.00,Delivery Truck,Stand Alone Restaurants,Preserved Food,Sundried Tomatoes,Jumbo Drum,Telangana,Nizamabad,South,India,20-04-2011,21-04-2011,4435.16,12,6427.77
High,0.0900,29.14,4.86,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Wrap Bag,Telangana,Nizamabad,South,India,20-04-2011,22-04-2011,158.93,8,230.33
Low,0.0200,160.98,30.00,Delivery Truck,Restaurant Chain,Preserved Food,Sundried Tomatoes,Jumbo Drum,Uttar Pradesh,Amroha,North,India,20-04-2011,22-04-2011,-90.41,1,200.38
High,0.1000,7.10,6.05,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Madhya Pradesh,Sidhi,West,India,22-04-2011,24-04-2011,1090.66,10,66.13
Medium,0.0600,35.99,1.10,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Maharashtra,Jalna,West,India,22-04-2011,23-04-2011,19.39,5,146.65
Medium,0.0700,195.99,8.99,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Assam,Silchar,East,India,25-04-2011,26-04-2011,4449.86,1,156.48
High,0.1000,1.82,1.00,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Andhra Pradesh,Narasaraopet,South,India,25-04-2011,26-04-2011,21.22,10,17.61
High,0.0800,8.69,2.99,Express Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,West Bengal,Jangipur,East,India,25-04-2011,26-04-2011,46.97,9,76.64
High,0.0700,415.88,11.37,Regular Air,Personel Usage,Processed Meat,Fresh Water Eel,Small Box,Uttar Pradesh,Unnao,North,India,26-04-2011,27-04-2011,3023.64,11,4382.09
High,0.0700,4.13,0.50,Regular Air,Restaurant Chain,Processed Meat,Oysters (Clam),Small Box,Rajasthan,Jaipur,West,India,26-04-2011,27-04-2011,-132.69,7,27.55
High,0.0900,4.28,6.72,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Arani,South,India,26-04-2011,28-04-2011,0.70,3,13.72
Medium,0.0900,30.73,4.00,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Madhya Pradesh,Chhindwara,West,India,27-04-2011,28-04-2011,-69.05,3,88.34
High,0.1000,19.98,5.77,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Chhindwara,West,India,27-04-2011,29-04-2011,91.67,3,55.68
High,0.0500,419.19,19.99,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Madhya Pradesh,Chhindwara,West,India,27-04-2011,29-04-2011,82.56,5,1991.15
High,0.0700,67.28,19.99,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Tamil Nadu,Tiruvallur,South,India,28-04-2011,05-05-2011,497.52,11,721.04
High,0.0500,80.98,35.00,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Large Box,Uttar Pradesh,Bareilly,North,India,02-05-2011,04-05-2011,3.82,14,1111.47
High,0.0800,12.64,4.98,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Gujarat,Bardoli,West,India,03-05-2011,04-05-2011,184.58,18,225.76
High,0.0800,306.14,26.53,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Gujarat,Bardoli,West,India,03-05-2011,05-05-2011,-98.43,7,1592.97
High,0.0700,6.48,10.05,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Haryana,Gurgaon,North,India,04-05-2011,04-05-2011,8.99,12,76.08
High,0.0700,140.98,36.09,Delivery Truck,Stand Alone Restaurants,Preserved Food,Pickle,Jumbo Box,Madhya Pradesh,Balaghat,West,India,05-05-2011,06-05-2011,-213.56,13,1734.17
High,0.0001,3.98,5.26,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,Madhya Pradesh,Tikamgarh,West,India,06-05-2011,08-05-2011,-29.53,3,14.41
Medium,0.0700,92.23,39.61,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Medium Box,Maharashtra,Shirdi,West,India,07-05-2011,08-05-2011,46.80,4,359.73
High,0.0400,4.28,6.72,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Maharashtra,Shirdi,West,India,07-05-2011,10-05-2011,-14.81,1,6.35
High,0.0400,24.95,2.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Bihar,Siwan,North,India,10-05-2011,12-05-2011,545.62,14,356.55
High,0.0300,44.43,46.59,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Uttar Pradesh,Bijnor,North,India,10-05-2011,11-05-2011,-1052.79,12,439.70
Medium,0.0600,350.99,39.00,Delivery Truck,Personel Usage,Preserved Food,Sundried Tomatoes,Jumbo Drum,Uttar Pradesh,Ghaziabad,North,India,11-05-2011,13-05-2011,3325.03,54,18407.67
High,0.0001,420.98,19.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Madhya Pradesh,Damoh,West,India,11-05-2011,13-05-2011,416.02,2,867.22
High,0.0200,6.48,9.68,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Damoh,West,India,11-05-2011,12-05-2011,-238.45,16,110.21
High,0.0700,36.55,13.89,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Madhya Pradesh,Hoshangabad,West,India,11-05-2011,13-05-2011,202.68,17,588.55
High,0.0100,4.91,0.50,Express Air,Personel Usage,Processed Meat,Oysters (Clam),Small Box,Jharkhand,Giridih,North,India,14-05-2011,16-05-2011,60.48,9,49.37
High,0.0900,1.86,2.58,Regular Air,Restaurant Chain,Processed Meat,Tuna,Wrap Bag,Uttar Pradesh,Sitapur,North,India,14-05-2011,16-05-2011,-94.95,15,26.84
High,0.0400,125.99,8.99,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Sitapur,North,India,14-05-2011,16-05-2011,910.83,12,1320.05
High,0.0700,2.88,0.99,Regular Air,Restaurant Chain,Processed Meat,Oysters (Clam),Small Box,Bihar,Darbhanga,North,India,15-05-2011,15-05-2011,0.88,3,8.57
Medium,0.0900,808.49,55.30,Delivery Truck,Restaurant Chain,Canned Foods,Sliced Pineapple,Jumbo Drum,Bihar,Darbhanga,North,India,15-05-2011,17-05-2011,2713.95,6,4502.64
High,0.1000,6.48,6.35,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,West Bengal,Ranaghat,East,India,15-05-2011,15-05-2011,-143.65,17,101.44
Low,0.0100,270.97,28.06,Delivery Truck,Personel Usage,Canned Foods,Sliced Pineapple,Jumbo Drum,Maharashtra,Nandurbar,West,India,17-05-2011,24-05-2011,2206.08,11,3197.22
High,0.0500,4.63,1.93,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,Karnataka,Raichur,South,India,17-05-2011,19-05-2011,-4.96,14,62.27
Low,0.0100,65.99,8.80,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Karnataka,Raichur,South,India,17-05-2011,26-05-2011,668.96,17,1003.31
High,0.0100,3.57,4.17,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Small Pack,Karnataka,Kolar,South,India,19-05-2011,20-05-2011,-119.35,17,65.23
High,0.0700,37.76,12.90,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Small Box,Karnataka,Kolar,South,India,19-05-2011,20-05-2011,25.51,15,552.43
High,0.0200,124.49,51.94,Delivery Truck,Stand Alone Restaurants,Preserved Food,Jams,Jumbo Box,Karnataka,Kolar,South,India,19-05-2011,21-05-2011,-365.44,13,1284.24
High,0.0500,4.91,0.50,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Telangana,Adilabad,South,India,20-05-2011,21-05-2011,-31.47,11,54.39
Not Specified,0.0300,12.07,6.20,Regular Air,Personel Usage,Preserved Food,Marmalade,Wrap Bag,Bihar,Gaya,North,India,20-05-2011,21-05-2011,-71.75,13,166.62
High,0.0800,8.85,5.60,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Uttar Pradesh,Kairana,North,India,21-05-2011,22-05-2011,-26.45,17,147.40
High,0.0900,2.61,0.50,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Uttar Pradesh,Kairana,North,India,21-05-2011,21-05-2011,27.39,16,39.70
High,0.0500,4.98,4.70,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Kairana,North,India,21-05-2011,22-05-2011,-14.33,2,11.44
High,0.0200,2.47,1.02,Regular Air,Restaurant Chain,Processed Meat,Tuna,Wrap Bag,Tamil Nadu,Tiruvallur,South,India,21-05-2011,22-05-2011,24.27,16,42.21
Critical,0.1000,125.99,8.80,Express Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Kerala,Kasaragod,South,India,23-05-2011,24-05-2011,-360.31,3,308.38
High,0.0600,8.50,1.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Tamil Nadu,Karur,South,India,23-05-2011,23-05-2011,-71.34,11,92.11
High,0.0400,2.18,0.78,Regular Air,Personel Usage,Processed Meat,Tuna,Wrap Bag,Tamil Nadu,Karur,South,India,23-05-2011,23-05-2011,-421.20,6,13.10
High,0.0200,12.28,6.13,Regular Air,Personel Usage,Processed Meat,Fresh Water Eel,Small Box,Tamil Nadu,Karur,South,India,23-05-2011,23-05-2011,-583.38,12,156.75
Critical,0.0800,400.97,48.26,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Box,Uttar Pradesh,Misrikh,North,India,24-05-2011,27-05-2011,2054.41,9,2977.41
Low,0.0001,46.94,6.77,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Box,Gujarat,Amreli,West,India,24-05-2011,02-06-2011,607.99,18,881.15
High,0.0900,161.55,19.99,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Gujarat,Amreli,West,India,24-05-2011,28-05-2011,-139.75,3,458.42
High,0.0900,5.58,5.30,Express Air,Stand Alone Restaurants,Processed Meat,Caviar,Small Box,Uttar Pradesh,Hamirpur,North,India,24-05-2011,25-05-2011,-39.67,7,40.79
Not Specified,0.0900,280.98,57.00,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Telangana,Warangal,South,India,25-05-2011,27-05-2011,547.00,2,554.64
High,0.0700,11.58,6.97,Regular Air,Personel Usage,Processed Meat,Caviar,Small Box,Uttar Pradesh,Ghaziabad,North,India,26-05-2011,26-05-2011,-2.23,71,812.96
High,0.0001,15.31,8.78,Regular Air,Personel Usage,Processed Meat,Fresh Water Eel,Small Box,Uttar Pradesh,Ghaziabad,North,India,26-05-2011,27-05-2011,-43.22,28,471.62
High,0.0300,5.18,2.04,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Rajasthan,Kota,West,India,26-05-2011,28-05-2011,-43.01,16,83.56
High,0.0800,6.30,0.50,Express Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Chhattisgarh,Mahasamund,North,India,27-05-2011,05-06-2011,74.45,17,107.90
Not Specified,0.0700,8.50,1.99,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Madhya Pradesh,Khajuraho,West,India,28-05-2011,30-05-2011,37.09,11,93.77
Not Specified,0.0100,31.78,1.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Maharashtra,Parbhani,West,India,28-05-2011,29-05-2011,325.20,14,471.30
Medium,0.0200,40.99,8.97,Regular Air,Stand Alone Restaurants,Canned Foods,Sliced Pineapple,Small Box,Tamil Nadu,Thanjavur,South,India,28-05-2011,28-05-2011,395.85,17,727.04
High,0.0400,4.91,0.50,Regular Air,Restaurant Chain,Processed Meat,Oysters (Clam),Small Box,Bihar,Jhanjharpur,North,India,29-05-2011,30-05-2011,54.69,52,250.00
High,0.0800,85.99,0.99,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Wrap Bag,Bihar,Jhanjharpur,North,India,29-05-2011,31-05-2011,791.81,71,5060.79
Low,0.0100,95.99,4.90,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Kerala,Trivandrum,South,India,29-05-2011,03-06-2011,132.95,16,1369.95
High,0.0300,105.98,13.99,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Medium Box,Karnataka,Kolar,South,India,29-05-2011,31-05-2011,534.66,7,774.87
Not Specified,0.1000,150.98,16.01,Delivery Truck,Restaurant Chain,Preserved Food,Jams,Jumbo Box,Bihar,Jhanjharpur,North,India,03-06-2011,04-06-2011,84.61,27,3986.34
High,0.0900,3.98,5.26,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Madhya Pradesh,Khargone,West,India,04-06-2011,04-06-2011,-58.46,8,33.01
High,0.0100,8.34,1.43,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Madhya Pradesh,Rewa,West,India,06-06-2011,08-06-2011,163.42,65,554.93
High,0.0800,4.98,0.49,Express Air,Personel Usage,Processed Meat,Oysters (Clam),Small Box,Maharashtra,Amravati,West,India,06-06-2011,06-06-2011,40.65,11,58.92
High,0.0100,2.88,0.99,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Madhya Pradesh,Khajuraho,West,India,09-06-2011,10-06-2011,4.51,4,11.92
Low,0.0200,49.34,10.25,Regular Air,Personel Usage,Preserved Food,Marmalade,Large Box,West Bengal,Raiganj,East,India,09-06-2011,13-06-2011,9.89,17,834.10
High,0.0500,3.28,1.95,Regular Air,Personel Usage,Processed Meat,Foie Gras,Wrap Bag,West Bengal,Raiganj,East,India,09-06-2011,16-06-2011,-30.97,15,51.19
High,0.0500,1.81,1.56,Regular Air,Personel Usage,Processed Meat,Tuna,Wrap Bag,West Bengal,Raiganj,East,India,09-06-2011,11-06-2011,-630.98,3,5.79
Low,0.0800,26.48,6.93,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Box,Bihar,Purnia,North,India,11-06-2011,18-06-2011,3.35,18,476.24
High,0.1000,205.99,8.99,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Tamil Nadu,Dindigul,South,India,16-06-2011,18-06-2011,-207.99,5,787.91
Low,0.0900,8.33,1.99,Regular Air,Stand Alone Restaurants,Canned Foods,Assorted Fruits,Small Pack,Madhya Pradesh,Rewa,West,India,17-06-2011,19-06-2011,-17.01,12,100.32
High,0.0800,15.67,1.39,Regular Air,Stand Alone Restaurants,Processed Meat,Caviar,Small Box,Madhya Pradesh,Rewa,West,India,17-06-2011,21-06-2011,203.01,44,678.72
High,0.0700,15.67,1.39,Regular Air,Stand Alone Restaurants,Processed Meat,Caviar,Small Box,Bihar,Khagaria,North,India,17-06-2011,19-06-2011,350.49,14,218.30
High,0.0300,4.13,5.34,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,West Bengal,Ghatal,East,India,19-06-2011,20-06-2011,-57.23,8,34.72
High,0.1000,4.13,0.50,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,West Bengal,Ghatal,East,India,19-06-2011,20-06-2011,43.73,17,63.37
Medium,0.0800,20.99,4.81,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Medium Box,West Bengal,Ghatal,East,India,19-06-2011,21-06-2011,-59.00,3,54.05
High,0.0300,4.06,6.89,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Chhattisgarh,Rajnandgaon,North,India,21-06-2011,28-06-2011,131.32,6,27.24
High,0.0100,22.38,15.10,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,Bihar,Madhubani,North,India,21-06-2011,23-06-2011,-58.72,13,299.57
High,0.0900,85.99,0.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Wrap Bag,Chhattisgarh,Durg,North,India,22-06-2011,24-06-2011,-270.12,2,134.36
High,0.0400,208.16,68.02,Delivery Truck,Hotels / Hospitals,Processed Meat,Jelly Fish,Jumbo Drum,West Bengal,Murshidabad,East,India,23-06-2011,24-06-2011,755.28,15,3233.49
High,0.0900,67.28,19.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Maharashtra,Dhule,West,India,23-06-2011,25-06-2011,12.77,9,580.89
High,0.1000,42.76,6.22,Regular Air,Personel Usage,Processed Meat,Fresh Water Eel,Small Box,Maharashtra,Dhule,West,India,23-06-2011,24-06-2011,-66.56,7,287.97
High,0.0300,6.48,6.60,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Bihar,Jhanjharpur,North,India,25-06-2011,27-06-2011,-95.40,42,289.74
Critical,0.0600,348.21,40.19,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Uttar Pradesh,Robertsganj,North,India,25-06-2011,28-06-2011,1699.48,9,2463.01
Critical,0.0200,35.99,5.99,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Wrap Bag,Uttar Pradesh,Robertsganj,North,India,25-06-2011,26-06-2011,414.02,19,600.03
High,0.0400,38.76,13.26,Express Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Chhattisgarh,Mahasamund,North,India,30-06-2011,05-07-2011,278.70,10,403.91
Critical,0.0600,119.99,56.14,Delivery Truck,Stand Alone Restaurants,Canned Foods,Sliced Pineapple,Jumbo Box,Gujarat,Rajkot,West,India,03-07-2011,05-07-2011,-34.30,11,1270.75
High,0.0700,36.55,13.89,Regular Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Wrap Bag,Gujarat,Rajkot,West,India,03-07-2011,06-07-2011,104.37,7,253.89
High,0.0600,1.26,0.70,Regular Air,Hotels / Hospitals,Processed Meat,Tuna,Wrap Bag,Karnataka,Tumkur,South,India,03-07-2011,04-07-2011,-2.73,1,1.62
High,0.0400,80.98,35.00,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Large Box,Karnataka,Tumkur,South,India,03-07-2011,04-07-2011,-921.68,11,874.40
Critical,0.0700,65.99,5.26,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Karnataka,Tumkur,South,India,03-07-2011,03-07-2011,-204.93,2,106.65
High,0.0700,21.98,8.32,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Wrap Bag,Uttar Pradesh,Bahraich,North,India,03-07-2011,05-07-2011,-8.88,1,29.99
High,0.0800,4.76,0.88,Express Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Chandrapur,West,India,03-07-2011,05-07-2011,10.27,3,14.89
High,0.0900,150.98,13.99,Regular Air,Stand Alone Restaurants,Canned Foods,Sliced Pineapple,Medium Box,Bihar,Jhanjharpur,North,India,04-07-2011,04-07-2011,1884.46,55,6814.28
Low,0.0900,19.98,4.00,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Box,Madhya Pradesh,Ratlam,West,India,04-07-2011,11-07-2011,-65.67,2,40.87
